"","de","a","ligero","profundo","despierto (s)","despertar","Duration to sleep (s)","Duration to wake up (s)","total","total_horas"
"56",2019-03-17 21:43:00,2019-03-18 06:41:00,13920,16980,1380,1,600,180,8.58333333333333,8.58333333333333
"57",2019-03-18 23:04:00,2019-03-19 06:16:00,8220,17400,300,0,0,300,7.11666666666667,7.11666666666667
"58",2019-03-19 22:48:00,2019-03-20 06:20:00,10980,15540,600,1,240,180,7.36666666666667,7.36666666666667
"59",2019-03-20 23:19:00,2019-03-21 06:24:00,9480,15480,540,1,0,120,6.93333333333333,6.93333333333333
"60",2019-03-21 22:57:00,2019-03-22 05:53:00,9960,13620,1380,1,240,120,6.55,6.55
"61",2019-03-23 00:07:00,2019-03-23 07:02:00,12900,10860,1140,1,240,360,6.6,6.6
"62",2019-03-23 20:59:00,2019-03-24 06:37:00,14340,18780,1560,2,780,60,9.2,9.2
"63",2019-03-24 22:41:00,2019-03-25 06:13:00,13320,13320,480,1,0,0,7.4,7.4
"64",2019-03-25 21:47:00,2019-03-26 06:26:00,11520,18600,1020,3,0,180,8.36666666666667,8.36666666666667
"65",2019-03-26 22:04:00,2019-03-27 06:19:00,8640,20220,840,2,0,120,8.01666666666667,8.01666666666667
"66",2019-03-27 22:05:00,2019-03-28 06:23:00,12780,14640,2460,3,360,240,7.61666666666667,7.61666666666667
"67",2019-03-28 23:21:00,2019-03-29 06:57:00,10621,15359,1380,3,0,0,7.21666666666667,7.21666666666667
"68",2019-03-29 22:05:00,2019-03-30 07:42:00,14100,17940,2580,3,540,60,8.9,8.9
"69",2019-03-30 22:11:00,2019-03-31 06:37:00,12840,15840,1680,2,0,0,7.96666666666667,7.96666666666667
"70",2019-03-31 21:03:00,2019-04-01 05:58:00,15000,15600,1500,1,360,360,8.5,8.5
"71",2019-04-01 21:46:00,2019-04-02 05:20:00,11460,13320,2460,3,360,0,6.88333333333333,6.88333333333333
"72",2019-04-02 21:27:00,2019-04-03 06:05:00,12900,13740,4440,6,0,120,7.4,7.4
"73",2019-04-03 22:46:00,2019-04-04 05:26:00,7380,14760,1860,2,360,120,6.15,6.15
"74",2019-04-05 21:57:00,2019-04-06 04:58:00,10680,13800,780,0,540,240,6.8,6.8
"75",2019-04-07 01:44:00,2019-04-07 05:57:00,5280,9000,900,1,360,360,3.96666666666667,3.96666666666667
"76",2019-04-09 21:51:00,2019-04-10 05:37:00,13080,12720,2160,2,0,0,7.16666666666667,7.16666666666667
"77",2019-04-10 21:14:00,2019-04-11 05:31:00,16140,12360,1320,3,0,120,7.91666666666667,7.91666666666667
"78",2019-04-11 22:07:00,2019-04-12 06:25:00,12900,15060,1920,2,420,0,7.76666666666667,7.76666666666667
"79",2019-04-12 21:58:00,2019-04-13 05:25:00,7980,17640,1200,1,540,480,7.11666666666667,7.11666666666667
"80",2019-04-13 21:41:00,2019-04-14 07:08:00,14160,18900,960,1,360,120,9.18333333333333,9.18333333333333
"81",2019-04-14 20:54:00,2019-04-15 05:35:00,14760,15240,1260,1,0,720,8.33333333333333,8.33333333333333
"82",2019-04-15 20:44:00,2019-04-16 04:33:00,13020,13920,1200,1,360,240,7.48333333333333,7.48333333333333
"83",2019-04-16 20:51:00,2019-04-17 05:42:00,10800,20100,960,1,360,420,8.58333333333333,8.58333333333333
"84",2019-04-17 22:58:00,2019-04-18 05:13:00,9120,12600,780,1,0,180,6.03333333333333,6.03333333333333
"85",2019-04-18 20:32:00,2019-04-19 07:07:00,15599,20701,1800,2,540,540,10.0833333333333,10.0833333333333
"86",2019-04-19 22:39:00,2019-04-20 06:37:00,8460,18840,1380,1,360,420,7.58333333333333,7.58333333333333
"87",2019-04-20 22:18:00,2019-04-21 05:46:00,11220,15420,240,0,240,0,7.4,7.4
"88",2019-04-21 21:58:00,2019-04-22 04:43:00,7800,15540,960,0,240,720,6.48333333333333,6.48333333333333
"89",2019-04-22 20:21:00,2019-04-23 05:48:00,15180,16500,2340,3,480,180,8.8,8.8
"90",2019-04-23 21:49:00,2019-04-24 05:21:00,9120,16620,1380,1,0,240,7.15,7.15
"91",2019-04-24 21:48:00,2019-04-25 05:32:00,11100,15420,1320,2,180,0,7.36666666666667,7.36666666666667
"92",2019-04-25 22:41:00,2019-04-26 05:47:00,12420,12120,1020,1,0,0,6.81666666666667,6.81666666666667
"93",2019-04-26 21:19:00,2019-04-27 06:44:00,10620,18960,4320,3,360,780,8.21666666666667,8.21666666666667
"94",2019-04-27 22:06:00,2019-04-28 06:01:00,7260,20160,1080,1,480,0,7.61666666666667,7.61666666666667
"95",2019-05-05 21:33:00,2019-05-06 05:18:00,10860,15120,1920,1,300,720,7.21666666666667,7.21666666666667
"96",2019-05-06 22:56:00,2019-05-07 05:37:00,8460,14100,1500,3,0,0,6.26666666666667,6.26666666666667
"97",2019-05-07 22:20:00,2019-05-08 04:47:00,10319,10440,2461,2,361,0,5.76638888888889,5.76638888888889
"98",2019-05-08 21:16:00,2019-05-09 04:25:00,8040,15300,2400,3,480,540,6.48333333333333,6.48333333333333
"99",2019-05-09 22:16:00,2019-05-10 05:05:00,8640,14700,1200,0,300,900,6.48333333333333,6.48333333333333
"100",2019-05-12 21:41:00,2019-05-13 05:35:00,10080,15720,2640,4,0,0,7.16666666666667,7.16666666666667
"101",2019-05-13 21:44:00,2019-05-14 05:40:00,11100,16500,960,2,300,0,7.66666666666667,7.66666666666667
"102",2019-05-14 20:53:00,2019-05-15 06:35:00,14640,16380,3900,4,480,0,8.61666666666667,8.61666666666667
"103",2019-05-15 21:22:00,2019-05-16 05:22:00,11220,14220,3360,4,120,0,7.06666666666667,7.06666666666667
"104",2019-05-16 21:28:00,2019-05-17 06:03:00,10020,19560,1320,2,240,480,8.21666666666667,8.21666666666667
"105",2019-05-17 22:05:00,2019-05-18 05:47:00,11640,15240,840,1,0,180,7.46666666666667,7.46666666666667
"106",2019-05-18 19:41:00,2019-05-19 05:37:00,18720,16020,1020,1,0,60,9.65,9.65
"107",2019-05-19 19:21:00,2019-05-20 02:40:00,9000,14580,2760,3,300,0,6.55,6.55
"108",2019-05-20 21:09:00,2019-05-21 05:01:00,11100,16860,360,0,0,360,7.76666666666667,7.76666666666667
"109",2019-05-21 22:42:00,2019-05-22 04:36:00,11220,9600,420,0,360,60,5.78333333333333,5.78333333333333
"110",2019-05-22 21:33:00,2019-05-23 05:09:00,10739,15721,900,0,180,720,7.35,7.35
"111",2019-05-24 23:30:00,2019-05-25 08:27:00,15480,14760,1980,1,360,840,8.4,8.4
"112",2019-05-25 23:04:00,2019-05-26 05:51:00,10800,12361,1259,3,0,0,6.43361111111111,6.43361111111111
"113",2019-05-26 22:24:00,2019-05-27 04:39:00,12780,9360,360,0,360,0,6.15,6.15
"114",2019-05-27 20:24:00,2019-05-28 05:44:00,15239,13801,4560,4,1320,0,8.06666666666667,8.06666666666667
"115",2019-05-29 21:54:00,2019-05-30 02:48:00,5700,11160,780,2,0,0,4.68333333333333,4.68333333333333
"116",2019-05-31 22:50:00,2019-06-01 06:28:00,13440,12720,1320,1,180,660,7.26666666666667,7.26666666666667
"117",2019-06-01 22:33:00,2019-06-02 05:42:00,11760,12480,780,2,0,0,6.73333333333333,6.73333333333333
"118",2019-06-07 21:04:00,2019-06-08 05:04:00,13560,14040,1200,2,0,0,7.66666666666667,7.66666666666667
"119",2019-06-08 22:05:00,2019-06-09 07:21:00,16260,16200,900,1,300,60,9.01666666666667,9.01666666666667
"120",2019-06-09 23:02:00,2019-06-10 05:08:00,9420,11460,1080,2,0,0,5.8,5.8
"121",2019-06-10 20:39:00,2019-06-11 04:30:00,14220,12360,1680,3,300,0,7.38333333333333,7.38333333333333
"122",2019-06-11 21:12:00,2019-06-12 06:37:00,12480,18540,2880,1,1620,660,8.61666666666667,8.61666666666667
"123",2019-06-12 22:08:00,2019-06-13 05:16:00,12240,11220,2220,3,360,0,6.51666666666667,6.51666666666667
"124",2019-06-13 22:59:00,2019-06-14 05:13:00,11340,10740,360,0,360,0,6.13333333333333,6.13333333333333
"125",2019-06-14 23:14:00,2019-06-15 07:45:00,16680,13080,900,2,0,0,8.26666666666667,8.26666666666667
"126",2019-06-15 22:56:00,2019-06-16 06:54:00,15960,11760,960,2,0,360,7.7,7.7
"127",2019-06-17 21:04:00,2019-06-18 05:19:00,18300,10200,1200,2,360,60,7.91666666666667,7.91666666666667
"128",2019-06-18 23:04:00,2019-06-19 04:37:00,8640,10500,840,0,360,480,5.31666666666667,5.31666666666667
"129",2019-06-19 22:17:00,2019-06-20 05:31:00,11160,11880,3000,4,360,60,6.4,6.4
"130",2019-06-20 21:49:00,2019-06-21 02:35:00,10260,5760,1140,2,180,0,4.45,4.45
"131",2019-06-21 19:41:00,2019-06-22 01:22:00,11700,8640,120,0,120,0,5.65,5.65
"132",2019-06-22 04:53:00,2019-06-22 08:09:00,5160,6540,60,0,0,60,3.25,3.25
"133",2019-06-22 22:44:00,2019-06-23 04:32:00,12541,8159,180,0,180,0,5.75,5.75
"134",2019-06-23 23:12:00,2019-06-24 05:29:00,11760,9780,1080,3,60,0,5.98333333333333,5.98333333333333
"135",2019-06-26 02:08:00,2019-06-26 04:45:00,5340,3960,120,0,120,0,2.58333333333333,2.58333333333333
"136",2019-06-26 23:58:00,2019-06-27 04:16:00,7380,7620,300,2,0,0,4.16666666666667,4.16666666666667
"137",2019-06-27 23:01:00,2019-06-28 02:00:00,5520,4860,360,0,360,0,2.88333333333333,2.88333333333333
"138",2019-06-28 23:07:00,2019-06-29 02:00:00,6000,4380,0,0,0,0,2.88333333333333,2.88333333333333
"139",2019-07-12 23:48:00,2019-07-13 06:25:00,10140,12900,780,1,180,0,6.4,6.4
"140",2019-07-17 23:08:00,2019-07-18 05:31:00,9540,11460,1980,2,360,0,5.83333333333333,5.83333333333333
"141",2019-07-18 21:46:00,2019-07-19 05:16:00,10320,13740,2940,5,480,240,6.68333333333333,6.68333333333333
"142",2019-07-19 23:27:00,2019-07-20 06:54:00,9840,15480,1500,2,240,180,7.03333333333333,7.03333333333333
"143",2019-07-20 21:08:00,2019-07-21 00:42:00,3960,8220,660,1,60,240,3.38333333333333,3.38333333333333
"144",2019-07-21 02:46:00,2019-07-21 06:55:00,10679,4080,181,0,61,120,4.09972222222222,4.09972222222222
"145",2019-07-21 20:38:00,2019-07-22 05:11:00,12419,13980,4381,5,781,0,7.33305555555556,7.33305555555556
"146",2019-07-22 22:46:00,2019-07-23 05:12:00,8700,14340,120,0,0,120,6.4,6.4
"147",2019-07-23 22:26:00,2019-07-24 06:31:00,13800,14220,1080,0,840,240,7.78333333333333,7.78333333333333
"148",2019-07-24 23:03:00,2019-07-25 06:15:00,12480,11220,2220,4,360,0,6.58333333333333,6.58333333333333
"149",2019-07-25 23:05:00,2019-07-26 07:05:00,14160,12000,2640,5,0,180,7.26666666666667,7.26666666666667
"150",2019-07-26 22:02:00,2019-07-27 06:35:00,14700,14460,1620,3,60,0,8.1,8.1
"151",2019-07-27 22:26:00,2019-07-28 05:21:00,9840,14460,600,0,180,420,6.75,6.75
"152",2019-07-28 23:01:00,2019-07-29 05:25:00,12180,9540,1320,2,360,60,6.03333333333333,6.03333333333333
"153",2019-07-30 21:09:00,2019-07-31 06:04:00,12780,18420,900,0,360,540,8.66666666666667,8.66666666666667
"154",2019-07-31 21:51:00,2019-08-01 05:53:00,13020,14940,960,2,60,180,7.76666666666667,7.76666666666667
"155",2019-08-01 23:13:00,2019-08-02 06:30:00,13380,11640,1200,2,0,0,6.95,6.95
"156",2019-08-02 22:33:00,2019-08-03 07:13:00,15540,14460,1200,0,420,780,8.33333333333333,8.33333333333333
"157",2019-08-03 23:19:00,2019-08-04 06:26:00,15240,9960,420,0,360,60,7,7
"158",2019-08-04 21:06:00,2019-08-05 06:47:00,18180,15060,1620,2,0,120,9.23333333333333,9.23333333333333
"159",2019-08-05 21:44:00,2019-08-06 05:06:00,12000,12480,2040,2,60,240,6.8,6.8
"160",2019-08-09 23:46:00,2019-08-10 05:54:00,10140,11040,900,1,360,0,5.88333333333333,5.88333333333333
"161",2019-08-10 22:14:00,2019-08-11 05:52:00,9840,15420,2220,2,360,0,7.01666666666667,7.01666666666667
"162",2019-08-11 22:02:00,2019-08-12 08:35:00,18180,15120,1020,3,360,120,9.25,9.25
"163",2019-08-12 23:40:00,2019-08-13 07:22:00,15420,11340,960,1,180,0,7.43333333333333,7.43333333333333
"164",2019-08-13 21:35:00,2019-08-14 07:05:00,17640,15360,1200,2,300,240,9.16666666666667,9.16666666666667
"165",2019-08-15 22:53:00,2019-08-16 06:55:00,11880,15720,1320,2,0,240,7.66666666666667,7.66666666666667
"166",2019-08-17 20:49:00,2019-08-18 06:56:00,19080,15720,1620,3,360,240,9.66666666666667,9.66666666666667
