"","de","a","ciudad","tipo"
"41",2018-11-22 17:40:00,2018-11-22 18:00:00,"Europe/Madrid","Walking"
"42",2018-11-22 18:16:00,2018-11-22 18:21:00,"Europe/Madrid","Walking"
"43",2018-11-22 18:29:00,2018-11-22 18:42:00,"Europe/Madrid","Walking"
"44",2018-11-24 18:17:00,2018-11-24 18:26:00,"Europe/Madrid","Walking"
"45",2018-11-26 08:30:00,2018-11-26 09:30:00,"Europe/Madrid","Swimming"
"46",2018-11-26 10:21:00,2018-11-26 10:42:00,"Europe/Madrid","Walking"
"47",2018-11-26 13:08:00,2018-11-26 13:27:00,"Europe/Madrid","Walking"
"48",2018-11-26 16:54:00,2018-11-26 17:10:00,"Europe/Madrid","Walking"
"49",2018-11-26 20:04:00,2018-11-26 20:22:00,"Europe/Madrid","Walking"
"50",2018-11-27 07:15:00,2018-11-27 08:15:00,"Europe/Madrid","Pilates"
"51",2018-11-28 08:15:00,2018-11-28 09:15:00,"Europe/Madrid","Swimming"
"52",2018-11-28 12:41:00,2018-11-28 12:48:00,"Europe/Madrid","Walking"
"53",2018-11-28 12:49:00,2018-11-28 12:53:00,"Europe/Madrid","Running"
"54",2018-11-28 15:14:00,2018-11-28 15:34:00,"Europe/Madrid","Walking"
"55",2018-11-28 17:55:00,2018-11-28 18:11:00,"Europe/Madrid","Walking"
"56",2018-11-28 20:08:00,2018-11-28 20:27:00,"Europe/Madrid","Walking"
"57",2018-12-03 09:52:00,2018-12-03 10:11:00,"Europe/Madrid","Walking"
"58",2018-12-03 13:01:00,2018-12-03 13:23:00,"Europe/Madrid","Walking"
"59",2018-12-03 17:24:00,2018-12-03 17:43:00,"Europe/Madrid","Walking"
"60",2018-12-03 20:06:00,2018-12-03 20:20:00,"Europe/Madrid","Walking"
"61",2018-12-04 17:45:00,2018-12-04 17:58:00,"Europe/Madrid","Walking"
"62",2018-12-04 21:42:00,2018-12-04 21:52:00,"Europe/Madrid","Walking"
"63",2018-12-04 22:03:00,2018-12-04 22:18:00,"Europe/Madrid","Walking"
"64",2018-12-05 12:29:00,2018-12-05 12:45:00,"Europe/Madrid","Walking"
"65",2018-12-05 15:08:00,2018-12-05 15:26:00,"Europe/Madrid","Walking"
"66",2018-12-05 17:51:00,2018-12-05 17:58:00,"Europe/Madrid","Walking"
"67",2018-12-05 19:56:00,2018-12-05 20:16:00,"Europe/Madrid","Walking"
"68",2018-12-06 16:24:00,2018-12-06 16:49:00,"Europe/Madrid","Walking"
"69",2018-12-06 19:10:00,2018-12-06 19:25:00,"Europe/Madrid","Walking"
"70",2018-12-07 07:42:00,2018-12-07 07:50:00,"Europe/Madrid","Running"
"71",2019-02-17 18:03:00,2019-02-17 19:02:00,"Europe/Madrid","Other"
"72",2019-02-18 17:37:00,2019-02-18 17:54:00,"Europe/Madrid","Walking"
"73",2019-02-18 19:59:00,2019-02-18 20:18:00,"Europe/Madrid","Walking"
"74",2019-02-19 13:13:00,2019-02-19 13:29:00,"Europe/Rome","Walking"
"75",2019-02-21 08:30:00,2019-02-21 11:30:00,"Europe/Rome","Ski"
"76",2019-02-21 21:33:00,2019-02-21 21:45:00,"Europe/Rome","Other"
"77",2019-02-22 08:00:00,2019-02-22 11:20:00,"Europe/Rome","Ski"
"78",2019-02-23 08:00:00,2019-02-23 12:20:00,"Europe/Rome","Ski"
"79",2019-02-24 07:00:00,2019-02-24 07:10:00,"Europe/Madrid","Ski"
"80",2019-02-24 13:37:00,2019-02-24 13:51:00,"Europe/Madrid","Walking"
"81",2019-02-25 17:58:00,2019-02-25 18:10:00,"Europe/Madrid","Walking"
"82",2019-02-25 20:05:00,2019-02-25 20:18:00,"Europe/Madrid","Walking"
"83",2019-02-26 08:21:00,2019-02-26 08:25:00,"Europe/Madrid","Running"
"84",2019-02-27 16:54:00,2019-02-27 17:10:00,"Europe/Madrid","Walking"
